#11276 log250127-1915.txt


0X00400000   U8          	 CANID_HB_TIMESYNC
0X50400000   FF_FF       	 CANID_MSG_CNTCTR1V
0X50600000   FF_FF       	 CANID_MSG_CNTCTR1A
0XE1800000   U8_U32      	 CANID_HB_LOGGER_1
0X46400000   I16_X6      	 CANID_DMOC_CMD_SPEED
0X46600000   I16_I16_I16_X6	 CANID_DMOC_CMD_TORQ
0X46800000   I16_I16_X_U8_U8	 CANID_DMOC_CMD_REGEN
0XCA000000   I16_I16_X6  	 CANID_DMOC_HV_STATUS
0X47C00000   I16_I16_I16_I16	 CANID_DMOC_DQVOLTAMP
0X47400000   I16         	 CANID_DMOC_ACTUALTORQ
0X47600000   I16_X6      	 CANID_DMOC_SPEED
0X05683004   I16_I16     	 CANID_DMOC_TORQUE
0X32000000   U8_U8_U16_U16_S16	 CANID_HB_CPSWSCLV1_5
0XE3800000   U8          	 CANID_CMD_CNTCTRKAI
0XE3C00000   U8_U8_U8    	 CANID_CMD_CNTCTRKAR
0XCA200000   U8_U8_U8    	 CANID_DMOC_HV_TEMPS
0XE1C00000   LAT_LON_HT  	 CANID_HB_GPS_LLH_1
0XE1200000   NONE        	 CANID_HB_GATEWAY2
#TOTAL 18
